anno,region,zona,acceso_int,quintil,niveduc,sexo,edad,tipo_acceso,edad_tramo,usa_computador,usa_smartphone
2012,10 los_lagos,rural,si,Q1,sup_universitaria_completa,mujer,60.0,Sólo Móvil,56–60,si,si
2012,11 aysen,rural,no,Q1,basica_incompleta,hombre,37.0,Ninguna,36–40,no,no
2012,11 aysen,rural,si,Q1,sup_universitaria_incompleta,hombre,41.0,Sólo Móvil,41–45,si,si
2012,11 aysen,rural,no,Q1,media_tp_incompleta,mujer,29.0,Ninguna,26–30,no,no
2012,11 aysen,rural,no,Q1,basica_completa,hombre,42.0,Ninguna,41–45,no,no
2012,11 aysen,rural,no,Q1,sup_universitaria_completa,mujer,73.0,Ninguna,71–75,no,no
2012,12 magallanes,rural,si,Q1,sup_universitaria_incompleta,hombre,20.0,Sólo Móvil,18–20,si,no
2012,12 magallanes,rural,si,Q1,sup_tecnica_completa,mujer,36.0,Sólo Móvil,36–40,si,si
2012,12 magallanes,rural,si,Q1,media_tp_incompleta,mujer,31.0,Sólo Móvil,31–35,si,no
2012,12 magallanes,rural,si,Q1,media_tp_completa,mujer,42.0,Sólo Fija,41–45,si,no
2012,12 magallanes,rural,si,Q1,sup_tecnica_completa,hombre,34.0,Sólo Fija,31–35,si,no
2012,12 magallanes,rural,si,Q1,sup_tecnica_completa,mujer,27.0,Sólo Móvil,26–30,si,no
2012,12 magallanes,rural,si,Q1,media_ch_incompleta,mujer,47.0,Sólo Fija,46–50,si,no
2012,12 magallanes,rural,si,Q1,sup_tecnica_completa,hombre,54.0,Sólo Móvil,51–55,si,si
2012,12 magallanes,rural,si,Q1,sup_tecnica_completa,mujer,44.0,Sólo Móvil,41–45,no,si
2012,12 magallanes,rural,si,Q1,media_tp_completa,hombre,32.0,Sólo Móvil,31–35,si,no
2012,12 magallanes,rural,no,Q1,basica_completa,hombre,51.0,Ninguna,51–55,no,no
2012,12 magallanes,rural,no,Q1,sup_tecnica_completa,hombre,27.0,Ninguna,26–30,no,no
2012,13 metropolitana,urbano,no,Q1,media_ch_completa,hombre,39.0,Ninguna,36–40,no,no
2012,13 metropolitana,urbano,no,Q1,sup_tecnica_incompleta,mujer,74.0,Ninguna,71–75,no,no
2012,13 metropolitana,urbano,no,Q1,media_ch_completa,hombre,54.0,Ninguna,51–55,no,no
2012,1 tarapaca,rural,no,Q1,sup_tecnica_completa,mujer,44.0,Ninguna,41–45,no,no
2012,1 tarapaca,rural,no,Q1,basica_incompleta,mujer,62.0,Ninguna,61–65,no,no
2012,14 los_rios,rural,si,Q1,media_ch_incompleta,mujer,24.0,Sólo Móvil,21–25,si,no
2012,14 los_rios,rural,no,Q1,basica_completa,hombre,25.0,Ninguna,21–25,no,no
2012,14 los_rios,rural,no,Q1,basica_completa,mujer,28.0,Ninguna,26–30,no,no
2012,15 arica_y_parinacota,rural,no,Q1,media_ch_completa,mujer,63.0,Ninguna,61–65,no,no
2012,15 arica_y_parinacota,rural,no,Q1,sup_universitaria_incompleta,mujer,19.0,Ninguna,18–20,no,no
2012,15 arica_y_parinacota,rural,no,Q1,media_ch_completa,hombre,42.0,Ninguna,41–45,no,no
2012,15 arica_y_parinacota,rural,no,Q1,sup_universitaria_completa,hombre,49.0,Ninguna,46–50,no,no
2012,2 antofagasta,urbano,no,Q1,media_tp_completa,mujer,30.0,Ninguna,26–30,no,no
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,40.0,Sólo Fija,36–40,si,no
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,mujer,39.0,Sólo Fija,36–40,si,no
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,61.0,Sólo Fija,61–65,si,no
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,hombre,44.0,Sólo Fija,41–45,si,si
2012,2 antofagasta,urbano,no,Q1,basica_completa,mujer,59.0,Ninguna,56–60,no,no
2012,2 antofagasta,urbano,no,Q1,media_tp_completa,mujer,52.0,Ninguna,51–55,no,no
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,52.0,Sólo Fija,51–55,si,no
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,45.0,Sólo Fija,41–45,si,si
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,51.0,Sólo Fija,51–55,si,si
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,56.0,Sólo Móvil,56–60,si,no
2012,2 antofagasta,urbano,si,Q1,media_ch_incompleta,hombre,19.0,Sólo Fija,18–20,si,no
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_incompleta,mujer,49.0,Sólo Fija,46–50,si,no
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,mujer,47.0,Sólo Fija,46–50,si,si
2012,2 antofagasta,urbano,si,Q1,basica_completa,mujer,44.0,Sólo Fija,41–45,si,no
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,45.0,Sólo Fija,41–45,si,no
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,hombre,37.0,Sólo Móvil,36–40,si,no
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,hombre,31.0,Sólo Fija,31–35,si,si
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,hombre,31.0,Sólo Fija,31–35,si,si
2012,2 antofagasta,urbano,no,Q1,media_tp_incompleta,hombre,68.0,Ninguna,66–70,no,no
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_incompleta,hombre,35.0,Sólo Fija,31–35,si,si
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,46.0,Sólo Móvil,46–50,si,si
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,35.0,Sólo Fija,31–35,si,si
2012,2 antofagasta,urbano,si,Q1,media_ch_incompleta,mujer,52.0,Sólo Fija,51–55,si,no
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,hombre,62.0,Sólo Fija,61–65,si,si
2012,2 antofagasta,urbano,no,Q1,media_ch_completa,hombre,40.0,Ninguna,36–40,no,no
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,mujer,31.0,Sólo Fija,31–35,si,no
2012,2 antofagasta,urbano,si,Q1,media_tp_completa,mujer,24.0,Sólo Fija,21–25,si,no
2012,2 antofagasta,urbano,no,Q1,basica_incompleta,hombre,58.0,Ninguna,56–60,no,no
2012,2 antofagasta,urbano,no,Q1,media_tp_completa,hombre,49.0,Ninguna,46–50,no,no
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,69.0,Sólo Fija,66–70,si,no
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,mujer,53.0,Sólo Fija,51–55,si,no
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,59.0,Sólo Fija,56–60,si,si
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,40.0,Sólo Fija,36–40,si,si
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_incompleta,mujer,21.0,Sólo Fija,21–25,si,no
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,40.0,Sólo Fija,36–40,si,no
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,49.0,Sólo Fija,46–50,si,no
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,44.0,Sólo Móvil,41–45,si,si
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,56.0,Sólo Fija,56–60,si,no
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,58.0,Sólo Fija,56–60,si,si
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,hombre,29.0,Sólo Fija,26–30,si,no
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,28.0,Sólo Fija,26–30,si,si
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,27.0,Sólo Móvil,26–30,si,no
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,hombre,49.0,Sólo Fija,46–50,si,si
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,hombre,45.0,Sólo Fija,41–45,si,si
2012,2 antofagasta,urbano,si,Q1,media_tp_completa,hombre,36.0,Sólo Fija,36–40,si,no
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,hombre,55.0,Sólo Fija,51–55,si,no
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,mujer,46.0,Sólo Fija,46–50,si,si
2012,2 antofagasta,urbano,no,Q1,media_tp_completa,hombre,22.0,Ninguna,21–25,no,no
2012,2 antofagasta,urbano,si,Q1,media_tp_incompleta,mujer,35.0,Sólo Fija,31–35,si,no
2012,2 antofagasta,urbano,si,Q1,basica_incompleta,mujer,46.0,Sólo Fija,46–50,si,no
2012,2 antofagasta,urbano,no,Q1,media_tp_completa,hombre,33.0,Ninguna,31–35,no,no
2012,2 antofagasta,urbano,si,Q1,basica_incompleta,hombre,58.0,Sólo Fija,56–60,si,no
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_incompleta,hombre,21.0,Sólo Fija,21–25,si,no
2012,2 antofagasta,urbano,no,Q1,sup_tecnica_completa,hombre,29.0,Ninguna,26–30,no,no
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,mujer,26.0,Sólo Fija,26–30,si,no
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,hombre,42.0,Sólo Fija,41–45,si,no
2012,2 antofagasta,urbano,si,Q1,media_ch_completa,mujer,57.0,Sólo Móvil,56–60,no,si
2012,2 antofagasta,urbano,si,Q1,sup_tecnica_completa,mujer,37.0,Sólo Fija,36–40,si,no
2012,2 antofagasta,urbano,si,Q1,sup_universitaria_completa,hombre,54.0,Sólo Fija,51–55,si,no
