nombre_columna,tipo_datos,valores_unicos,null_count,descripcion
id,float64,5000,0,
fecha_fin,object,81,0,
region,object,16,0,
comuna,float64,90,0,
zona,object,2,0,
parentesco_jh,float64,12,0,
educ_jh,object,11,0,
ocupacion_jh,object,6,0,
A12_11,float64,2,0,
A12_2,float64,1,0,
A12_3,float64,2,0,
A12_4,float64,2,0,
A12_5,float64,2,0,
A12_6,float64,2,0,
A12_7,float64,2,0,
A12_8,float64,2,0,
A12_9,float64,2,0,
A12_10,float64,1,0,
A12_111,float64,2,0,
A12_12,float64,2,0,
A12_13,float64,2,0,
A13_1,float64,2,0,
A13_2,float64,2,0,
A13_3,float64,2,0,
A13_4,float64,2,0,
A13_5,float64,2,0,
A13_6,float64,2,0,
A13_7,float64,2,0,
A14_1,float64,2,0,
A14_2,float64,2,0,
A14_3,float64,2,0,
A14_4,float64,2,0,
A14_5,float64,2,0,
A14_6,float64,2,0,
A14_7,float64,2,0,
A14_8,float64,2,0,
A14_OTRA,object,36,0,
acceso_internet_hogar,object,2,0,
n_smartphones_hogar,float64,20,159,
n_computadores_hogar,float64,12,159,
P3_1,float64,3,159,
P3_2,float64,3,159,
P3_3,float64,3,159,
P3_4,float64,2,159,
P3_5,float64,3,159,
P3_6,float64,3,159,
P3_7,float64,3,159,
P3_8,float64,3,159,
P3_8_OTRA,object,26,0,
P4_1,float64,2,0,
P4_2,float64,2,0,
P4_3,float64,2,0,
P4_4,float64,2,0,
P4_5,float64,2,0,
P5_1,float64,34,1703,
P5_OTRA_1,object,138,0,
P5_2,float64,8,4870,
P5_OTRA_2,object,3,0,
P5_3_1,float64,2,711,
P5_3_2,float64,2,711,
P5_3_3,float64,2,711,
P5_3_4,float64,2,711,
P5_3_5,float64,2,711,
P5_3_6,float64,2,711,
P5_3_7,float64,1,711,
P5_3_8,float64,2,711,
P5_3_9,float64,2,711,
P5_OTRA_3,object,26,0,
P5_4,float64,8,4929,
P5_OTRA_44,object,23,0,
P6_1,float64,2,1645,
P6_2,float64,2,1645,
P6_3,float64,2,1645,
P6_4,float64,2,1645,
P6_5,float64,2,1645,
P6_6,float64,2,1645,
P6_7,float64,2,1645,
P6_8,float64,2,1645,
P6_9,float64,2,1645,
P6_10,float64,2,1645,
P6_11,float64,2,1645,
P6_12,float64,2,1645,
P6_13,float64,2,1645,
P6_1_1,float64,2,657,
P6_1_2,float64,2,657,
P6_1_3,float64,2,657,
P6_1_4,float64,2,657,
P6_1_5,float64,2,657,
P6_1_6,float64,2,657,
P6_1_7,float64,2,657,
P6_1_8,float64,2,657,
P6_1_9,float64,2,657,
P6_1_10,float64,2,657,
P6_1_11,float64,2,657,
P6_1_12,float64,2,657,
P6_1_13,float64,2,657,
P7_1,float64,2,3548,
P7_2,float64,2,3548,
P7_3,float64,2,3548,
P7_4,float64,2,3548,
P7_5,float64,2,3548,
P7_6,float64,2,3548,
P7_7,float64,2,3548,
P7_8,float64,2,3548,
P7_9,float64,2,3548,
P7_10,float64,2,3548,
P7_11,float64,2,3548,
P7_12,float64,2,3548,
P8_1,float64,2,3548,
P8_2,float64,2,3548,
P8_3_1,float64,2,3548,
P8_3_2,float64,2,3548,
P8_3_3,float64,2,3548,
P8_3_4,float64,2,3548,
P8_3_5,float64,2,3548,
P9_1,float64,2,3548,
P9_2,float64,2,3548,
P9_3,float64,2,3548,
P9_4,float64,2,3548,
tipo_acceso_fijo,object,10,1645,
P10_OTRA,object,10,0,
tipo_plan,object,5,1720,
pago_mensual_internet,float64,231,1873,
velocidad_contratada,object,6,1720,
calidad_acceso,float64,3,1720,
cuota_mensual_gb,float64,3,1720,
P12_11,float64,2,657,
P12_21,float64,2,657,
P12_31,float64,2,657,
P12_41,float64,2,657,
plan_movil_tipo,float64,2,657,
P13_1,float64,2,3355,
P13_2,float64,2,3355,
P13_3,float64,2,3355,
P13_4,float64,2,3355,
P13_5,float64,2,3355,
P13_6,float64,2,3355,
P13_7,float64,2,3355,
P13_8,float64,2,3355,
P13_9,float64,2,3355,
P13_10,float64,2,3355,
P13_11,float64,2,3355,
P13_12,float64,2,3355,
